id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-20T09:26:11;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-20T23:33:03;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-20T16:57:35;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-21T02:35:39;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-20T15:26:01;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-20T18:12:36;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-21T07:14:00;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-20T21:25:35;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-20T18:40:42;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-20T15:11:23;mysterious metal whenever
