id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-20T11:02:19;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-21T01:09:11;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-20T18:33:43;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-21T04:11:47;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-20T17:02:09;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-20T19:48:44;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-21T08:50:08;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-20T23:01:43;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-20T20:16:50;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-20T16:47:31;mysterious metal whenever
