id;first_name;last_name;email;hire_date;position
1;Sunny;Parisian;Lenora_Will79@hotmail.com;2024-10-21T03:04:18;decongestant antagonize who
2;Alfreda;Walsh;Dandre40@yahoo.com;2024-10-20T22:49:46;really
3;Bonita;Erdman;Rowena_Torp@yahoo.com;2024-10-21T07:07:06;ah repeat
4;Ara;Howe;Bobby34@hotmail.com;2024-10-21T03:06:21;during patiently
5;Carson;Jerde;Gus_Strosin@gmail.com;2024-10-20T20:19:51;object ack
6;Karine;Klein;Alexandria25@yahoo.com;2024-10-21T01:56:17;before so
7;Julian;Kuhic-Wisoky;Addie83@yahoo.com;2024-10-21T10:40:02;independence when as
8;Clovis;Littel;Tito.Fritsch@hotmail.com;2024-10-20T15:33:40;venom cautiously fatal
9;Alanis;Miller;Jameson.Schimmel21@hotmail.com;2024-10-21T05:12:16;worriedly
10;Rey;Herzog;Mozelle75@gmail.com;2024-10-20T20:19:05;quaintly
