id;first_name;last_name;email;hire_date;position
1;Michelle;Buckridge;Ivory58@gmail.com;2024-10-21T09:31:29;white what orientate
2;Ralph;Raynor;Lillian95@yahoo.com;2024-10-21T01:37:14;awareness meh seldom
3;Duncan;O'Connell;Hollie.Krajcik@hotmail.com;2024-10-20T13:12:11;by around
4;Arne;Hane;Richmond_Wilderman81@yahoo.com;2024-10-21T08:09:18;helpfully save fooey
5;Annabelle;Kuphal;Nasir.Huels@yahoo.com;2024-10-21T10:20:12;readily inferior
6;Sigmund;Schinner;Orville.Douglas80@hotmail.com;2024-10-21T07:28:52;and menacing
7;Jaclyn;Medhurst;Godfrey89@gmail.com;2024-10-20T16:37:03;whoa clearly lotion
8;Justus;Mueller;Jadyn46@hotmail.com;2024-10-20T21:31:58;badly scruple skeletal
9;Victoria;Smitham;Nedra.Mayert73@yahoo.com;2024-10-20T13:43:37;excluding scram tiny
10;Clementina;Davis;Marc15@yahoo.com;2024-10-20T18:09:45;before
