id;first_name;last_name;email;hire_date;position
1;Michelle;Buckridge;Ivory58@gmail.com;2024-10-21T09:31:54;white what orientate
2;Ralph;Raynor;Lillian95@yahoo.com;2024-10-21T01:37:39;awareness meh seldom
3;Duncan;O'Connell;Hollie.Krajcik@hotmail.com;2024-10-20T13:12:36;by around
4;Arne;Hane;Richmond_Wilderman81@yahoo.com;2024-10-21T08:09:43;helpfully save fooey
5;Annabelle;Kuphal;Nasir.Huels@yahoo.com;2024-10-21T10:20:37;readily inferior
6;Sigmund;Schinner;Orville.Douglas80@hotmail.com;2024-10-21T07:29:17;and menacing
7;Jaclyn;Medhurst;Godfrey89@gmail.com;2024-10-20T16:37:28;whoa clearly lotion
8;Justus;Mueller;Jadyn46@hotmail.com;2024-10-20T21:32:23;badly scruple skeletal
9;Victoria;Smitham;Nedra.Mayert73@yahoo.com;2024-10-20T13:44:02;excluding scram tiny
10;Clementina;Davis;Marc15@yahoo.com;2024-10-20T18:10:10;before
