id;provider;provider_app_manager_id;name;provider_secret_key;provider_token;provider_refresh_token
e02d749d-6d19-4bda-aea6-04e2a6cc4620;JELLO;alongside clueless till;considering;although;ugh cop;ah
c5a3077e-6367-4bbe-98d1-6c9fd5bcb262;OTHER;academics against;between oof oh;impact joyously;tennis cuckoo;whine
cb68b790-f578-41c6-bb23-0ade5ec48b9f;OTHER;maestro likely for;svelte;worth excess helplessly;phooey designation;drab clean
a66b3c9e-9747-45c5-bd0f-6a4559f5f10f;OTHER;muscat striking;justly light crocodile;deed;cycle phooey;how past gulp
4be86174-7772-4684-b5e0-a21e483f8adf;OTHER;along;condense;soon yippee;retract;intently granular yesterday
e3c73bc8-0b05-42be-9f97-6e3da40e584c;JELLO;uh-huh because after;plus excited hence;splurge testify the;inconsequential;pro masticate bah
852d7900-922b-41a9-a62f-32f3b3bc3c3a;JELLO;book right;crackle knuckle after;slather;kosher;federate avow quiet
1c3c8f6b-18b7-450e-84b9-d99026dc7dda;OTHER;repossess until extricate;frank;similar blah;mmm;versus
caf65cae-24ef-4462-a720-70572fb090d7;OTHER;search;awkwardly;unless tomorrow glider;onto pacemaker;circa following concentration
834c3855-fd0b-4cbf-a985-23aa97aa0dea;JELLO;fun hm quiet;crossly institute spiteful;instead;unlawful swath eek;construe a
