id;platform_code;platform_username;platform_avatar_url;is_sensitive;family_name;given_name;dob;gender;phone;email;acquired_from;current_points;total_points;is_following;is_enabled
8dab227b-9c86-4e7c-be61-1594c8ad0b58;uh-huh woot;harvest anguished;yearly;false;circumference;tasty whether;2024-10-21;MALE;1-642-430-5873 x57968;"FS@R}K.wk/]Gj";OFFLINE;18176;1275;true;true
e60cd6d5-c0bc-4a04-a59f-5af274bfcddd;criminal;webbed phew repentant;jealously;false;devoted;retention;2024-10-21;MALE;632-854-5586 x3102;"{@3e,[NC.t0}";OFFLINE;4671;27261;false;false
130e7d89-f760-4e0d-a050-14aed4aa5e12;till ack anenst;chunder;beyond;false;minus unaccountably;finally;2024-10-21;FEMALE;881-454-0422 x45243;"?2@A.jWYd";OFFLINE;4313;31416;false;true
62d1c7d6-bafb-4d4c-92c6-5c51470afe70;epic dislocate woot;bleakly log;after but eyebrow;false;ultimately juicy mobility;toothbrush turret;2024-10-21;FEMALE;627-638-1183 x8697;"<_hn@v2i.GxAX}r";JELLO;11245;15036;true;false
df410033-1aa4-4980-80fc-396616819933;uh-huh;premise mid eyeliner;mmm gallivant;false;best-seller deeply;question meh home;2024-10-21;FEMALE;907-396-8855 x6076;"4f&@V;.tJl~2I";OFFLINE;29852;1228;true;false
4d28b050-34ce-48fa-b123-01c9a49a2000;that;dress consequently noisily;event;true;out;although natural definite;2024-10-21;MALE;471-443-8532 x19565;"D%L>qS@Ua).DSL}J";JELLO;15768;13986;true;false
d2c70469-882a-4f18-9a8b-4f7ef7f04c78;sniff self-reliant;confusion guard;larva keel;true;of gosh impure;than uh-huh;2024-10-20;FEMALE;1-643-905-5444;"ID=IcX@12u].M&Y~J";OFFLINE;6685;5502;false;false
a345b490-35f1-4611-a3ac-8fb2a9869bed;especially ironclad;expensive edge extremely;nicely;true;whoa;gum cruelly understanding;2024-10-20;FEMALE;456-653-9200 x53098;"&$C4B@,HsMy=.HIw}m";JELLO;30013;24710;false;false
a60e6072-7ace-4b13-bdde-c4d5495a3e9d;gladly almost;following fun;per verbally;true;who apud;intently loosely;2024-10-21;FEMALE;251-562-8843 x5652;"c@Nl.=Ncxwz";JELLO;13136;10484;true;true
16693ba1-529b-424a-aab4-c1a6f7d71ff6;petty concerning deprave;if clueless magnificent;sadly ugh;true;evil;um configuration portray;2024-10-21;FEMALE;(203) 411-4261 x1237;"zG6zDZ@,)A%z.2;";JELLO;27610;21877;true;true
