id;first_name;last_name;email;hire_date;position
1;Jarret;Ruecker;Kathleen.Bosco89@yahoo.com;2024-10-23T01:37:33;newsstand
2;Leone;Nicolas;Kariane56@hotmail.com;2024-10-22T22:47:12;thankfully for
3;Lavonne;Sipes;Sonya82@hotmail.com;2024-10-23T07:54:17;alligator
4;Abraham;Pollich;Ova.Breitenberg@gmail.com;2024-10-22T18:01:45;husk boo
5;Brianne;Turner;Karine40@hotmail.com;2024-10-23T05:24:28;where
6;Lindsay;Beer;Fernando61@hotmail.com;2024-10-22T18:39:40;resolve animated
7;Claudie;Langosh;Johnnie76@hotmail.com;2024-10-23T02:55:51;under zowie
8;Felicia;Hyatt;Bell_Murray@yahoo.com;2024-10-23T02:36:48;after utter doubtfully
9;Melyssa;Vandervort;Rebekah_Rau59@yahoo.com;2024-10-22T21:59:31;conclude
10;Tobin;Spinka;Jada_Gerlach@yahoo.com;2024-10-22T19:51:15;hm boo
