id;first_name;last_name;email;hire_date;position
1;Judah;Stokes;Nakia90@yahoo.com;2024-10-22T20:21:30;frizz tribe
2;Aric;Yost;Vilma_Kuphal@hotmail.com;2024-10-23T11:34:49;fluctuate
3;Jameson;Denesik;Erika.Koch57@gmail.com;2024-10-23T00:13:56;pretend
4;Delphine;Keeling;Bret_Robel67@gmail.com;2024-10-23T13:37:19;firm judgementally
5;Dashawn;Cartwright;Sibyl_Gerhold@gmail.com;2024-10-23T12:06:23;a
6;Zoe;Pacocha-Boyer;Dolly_Abshire69@hotmail.com;2024-10-23T10:31:21;enthusiastically besides
7;Garret;Renner;Rosalyn.Simonis@yahoo.com;2024-10-23T17:38:48;clearly
8;Eli;Leffler;Bridget.Waters92@hotmail.com;2024-10-23T07:57:24;great so usefully
9;Tatum;Borer;Lauriane.Koch30@gmail.com;2024-10-23T03:34:15;fess etch midwife
10;Bridget;Kuhn;Thad_Nolan@hotmail.com;2024-10-23T18:13:25;loyally
