id;first_name;last_name;email;hire_date;position
1;Adam;Greenholt;Matilde64@hotmail.com;2024-10-23T14:00:21;straight
2;Flavio;Stamm;Ismael_Goyette@yahoo.com;2024-10-23T05:10:00;beside neat duh
3;Donnell;Runolfsson;Kadin.Gleason12@gmail.com;2024-10-23T09:32:24;quick-witted bleach about
4;Vickie;Ryan;Aditya60@yahoo.com;2024-10-23T05:03:06;faithfully prudent
5;Paolo;Douglas;Berneice_Lakin4@yahoo.com;2024-10-22T21:18:17;close colonialism
6;Clinton;Rippin;Harley13@yahoo.com;2024-10-23T01:13:38;within furthermore zealous
7;Jeremy;Jakubowski;Jaydon6@yahoo.com;2024-10-23T05:34:57;unlike muddy sweatshop
8;Junius;Wunsch;Clarissa_Corkery14@yahoo.com;2024-10-22T18:38:59;despite tomorrow absent
9;Arlo;Welch;Genevieve.Koelpin@hotmail.com;2024-10-23T10:14:47;readily pish frilly
10;Nicolette;Abbott;Jena_Shanahan@yahoo.com;2024-10-23T04:21:49;corrupt peaceful ew
