id;name;contact_person;email;phone_number
1;once starch;meaningfully aside;Kristofer_Kreiger16@yahoo.com;and indeed yowza
2;sweatshop;roundabout worth after;Lennie97@hotmail.com;train
3;throughout biodegradable;whispered instantly;Art_Thompson79@yahoo.com;of
4;nauseate;following;Emil59@hotmail.com;opposite
5;now;brr since ecliptic;Belle.Kihn3@gmail.com;till round since
6;scratch but suckle;while vacantly;Julia.Purdy32@hotmail.com;reluctantly fibre
7;yearly;wealthy incidentally humiliating;Deon_Hauck@gmail.com;dull anenst
8;huzzah dramatize slip;next scarily;Michale57@hotmail.com;judicious instead whoa
9;unblinking;absent;Percy.Hammes58@gmail.com;reprimand quantify suddenly
10;impact quiet;worth;Bart.McGlynn@hotmail.com;down
