id;name;contact_person;email;phone_number
1;into nor vivaciously;economise detain mmm;Abdiel_Rippin@yahoo.com;so youthful
2;adjudge;lest;Ryley_Weber97@yahoo.com;fairly inside really
3;duh highly;exalt anenst pfft;Tyson_Bauch@hotmail.com;woefully
4;vacantly oxidize;fooey sunny;Caterina.Heathcote@yahoo.com;scoff lest modulo
5;versus;repentant though yet;Roman_Jerde23@hotmail.com;knowledgeably atop always
6;wherever when;lest though democratize;Darryl42@hotmail.com;twin
7;of commodity;oxygenate;Filiberto_Rowe-Simonis37@gmail.com;upliftingly roundabout
8;polite wallaby immediately;gee;Isabelle18@gmail.com;partial anti
9;ambitious innovation fooey;gee;Adan76@yahoo.com;once
10;fooey swine amongst;atop;Elsie84@hotmail.com;if
