id;name;contact_person;email;phone_number
1;boo however rapid;finally;Mac_Brakus@gmail.com;zowie
2;frenetically aha;wherever;Petra8@gmail.com;yuck solidly
3;unimportant confused;hmph sunny discontinue;Elaina11@yahoo.com;huzzah
4;despite;ack;Jermey.Kemmer63@yahoo.com;once truly quaintly
5;follower accidentally;apropos gosh gosh;Jerad16@yahoo.com;verify wisely
6;fleck whether loyalty;ick gadzooks apropos;Pamela53@hotmail.com;inasmuch although
7;handsome unnecessarily scrape;for spice;Alexander48@hotmail.com;alarmed
8;swath on;vengeful decision wisely;Tomas_OReilly@gmail.com;someplace provided
9;hyphenation;event;Eleanora.Bruen-Bartoletti30@yahoo.com;bah regularly
10;condense idolized;obnoxiously valuable;Gilberto.Mayer@yahoo.com;deadly
