id;first_name;last_name;email;hire_date;position
1;Michelle;Buckridge;Ivory58@gmail.com;2024-10-23T14:54:54;white what orientate
2;Ralph;Raynor;Lillian95@yahoo.com;2024-10-23T07:00:39;awareness meh seldom
3;Duncan;O'Connell;Hollie.Krajcik@hotmail.com;2024-10-22T18:35:36;by around
4;Arne;Hane;Richmond_Wilderman81@yahoo.com;2024-10-23T13:32:43;helpfully save fooey
5;Annabelle;Kuphal;Nasir.Huels@yahoo.com;2024-10-23T15:43:37;readily inferior
6;Sigmund;Schinner;Orville.Douglas80@hotmail.com;2024-10-23T12:52:17;and menacing
7;Jaclyn;Medhurst;Godfrey89@gmail.com;2024-10-22T22:00:28;whoa clearly lotion
8;Justus;Mueller;Jadyn46@hotmail.com;2024-10-23T02:55:23;badly scruple skeletal
9;Victoria;Smitham;Nedra.Mayert73@yahoo.com;2024-10-22T19:07:02;excluding scram tiny
10;Clementina;Davis;Marc15@yahoo.com;2024-10-22T23:33:10;before
