id;first_name;last_name;email;hire_date;position
1;Jarret;Ruecker;Kathleen.Bosco89@yahoo.com;2024-10-23T01:38:38;newsstand
2;Leone;Nicolas;Kariane56@hotmail.com;2024-10-22T22:48:17;thankfully for
3;Lavonne;Sipes;Sonya82@hotmail.com;2024-10-23T07:55:22;alligator
4;Abraham;Pollich;Ova.Breitenberg@gmail.com;2024-10-22T18:02:50;husk boo
5;Brianne;Turner;Karine40@hotmail.com;2024-10-23T05:25:33;where
6;Lindsay;Beer;Fernando61@hotmail.com;2024-10-22T18:40:45;resolve animated
7;Claudie;Langosh;Johnnie76@hotmail.com;2024-10-23T02:56:56;under zowie
8;Felicia;Hyatt;Bell_Murray@yahoo.com;2024-10-23T02:37:53;after utter doubtfully
9;Melyssa;Vandervort;Rebekah_Rau59@yahoo.com;2024-10-22T22:00:36;conclude
10;Tobin;Spinka;Jada_Gerlach@yahoo.com;2024-10-22T19:52:20;hm boo
