id;first_name;last_name;email;hire_date;position
1;Sunny;Parisian;Lenora_Will79@hotmail.com;2024-10-23T08:37:00;decongestant antagonize who
2;Alfreda;Walsh;Dandre40@yahoo.com;2024-10-23T04:22:28;really
3;Bonita;Erdman;Rowena_Torp@yahoo.com;2024-10-23T12:39:48;ah repeat
4;Ara;Howe;Bobby34@hotmail.com;2024-10-23T08:39:03;during patiently
5;Carson;Jerde;Gus_Strosin@gmail.com;2024-10-23T01:52:33;object ack
6;Karine;Klein;Alexandria25@yahoo.com;2024-10-23T07:28:59;before so
7;Julian;Kuhic-Wisoky;Addie83@yahoo.com;2024-10-23T16:12:44;independence when as
8;Clovis;Littel;Tito.Fritsch@hotmail.com;2024-10-22T21:06:22;venom cautiously fatal
9;Alanis;Miller;Jameson.Schimmel21@hotmail.com;2024-10-23T10:44:58;worriedly
10;Rey;Herzog;Mozelle75@gmail.com;2024-10-23T01:51:47;quaintly
