id;first_name;last_name;email;hire_date;position
1;Orpha;Nienow;Nathanial30@hotmail.com;2024-10-23T06:09:36;encode aha
2;Jerrell;Kutch;Muriel_Wunsch38@gmail.com;2024-10-22T20:02:45;zowie unabashedly
3;Bruce;Casper;Deangelo.Breitenberg@yahoo.com;2024-10-22T19:18:41;optimistic since
4;Russel;Denesik;Rigoberto.Stamm@hotmail.com;2024-10-23T11:44:02;tedious archive
5;Malvina;O'Keefe;Kaci_Haag@yahoo.com;2024-10-23T12:38:52;earth lightly
6;Xzavier;Braun;Cora.Williamson68@hotmail.com;2024-10-23T05:42:39;sans squirm
7;Ricardo;Volkman;Wilhelm2@yahoo.com;2024-10-23T07:18:04;joint
8;Theresa;Rempel;Miguel73@yahoo.com;2024-10-22T21:31:50;uh-huh oof rim
9;Lexus;Becker;Devyn_Halvorson98@yahoo.com;2024-10-22T19:06:17;than furlough considering
10;Anya;Beer;Rex_Raynor-Rippin55@hotmail.com;2024-10-23T16:02:38;granny ew
