id;first_name;last_name;email;hire_date;position
1;Adam;Greenholt;Matilde64@hotmail.com;2024-10-23T14:01:26;straight
2;Flavio;Stamm;Ismael_Goyette@yahoo.com;2024-10-23T05:11:05;beside neat duh
3;Donnell;Runolfsson;Kadin.Gleason12@gmail.com;2024-10-23T09:33:29;quick-witted bleach about
4;Vickie;Ryan;Aditya60@yahoo.com;2024-10-23T05:04:11;faithfully prudent
5;Paolo;Douglas;Berneice_Lakin4@yahoo.com;2024-10-22T21:19:22;close colonialism
6;Clinton;Rippin;Harley13@yahoo.com;2024-10-23T01:14:43;within furthermore zealous
7;Jeremy;Jakubowski;Jaydon6@yahoo.com;2024-10-23T05:36:02;unlike muddy sweatshop
8;Junius;Wunsch;Clarissa_Corkery14@yahoo.com;2024-10-22T18:40:04;despite tomorrow absent
9;Arlo;Welch;Genevieve.Koelpin@hotmail.com;2024-10-23T10:15:52;readily pish frilly
10;Nicolette;Abbott;Jena_Shanahan@yahoo.com;2024-10-23T04:22:54;corrupt peaceful ew
