id;name;contact_person;email;phone_number
1;awkwardly kookily supposing;pish;Damon_Carter@yahoo.com;pace painfully elastic
2;ugh why;impish fold;Richmond.Hudson67@gmail.com;bashfully after
3;though;but oof;Adrain38@hotmail.com;inasmuch kosher
4;urgently generally or;woot fiddle and;Lurline.Abernathy@gmail.com;instead near stunt
5;shady;inquisitively partially;Francis_Cartwright19@hotmail.com;outside why so
6;because blah than;indeed;Leilani.Mueller@hotmail.com;probable judgementally wrongly
7;from worth;rectangular;Deven69@gmail.com;portray even
8;precedent shirk negotiation;boo cheerful;Nina.Nikolaus49@yahoo.com;micromanage among
9;overconfidently unfortunately finally;shout navigate;Susie57@hotmail.com;politely
10;secondary softly;probable alliance chiffonier;Jamaal_Beer92@yahoo.com;aw
