id;name;contact_person;email;phone_number
1;even;honesty yahoo;Anthony.Casper57@yahoo.com;since redact aha
2;making yet;mmm;Austen_Ondricka@gmail.com;mostly
3;mooch watery apricot;unfortunately poorly;Westley.Littel@yahoo.com;so till
4;fooey after;strictly;Kristian78@hotmail.com;gadzooks clueless pertain
5;comb ah row;boohoo unripe;Marianne85@yahoo.com;for what
6;till approximate;digital once;Rosetta53@gmail.com;eek unto
7;before fashion;anti;Einar.Hyatt@gmail.com;kettledrum till
8;kick while;entry wonderfully;Carley.Lakin@hotmail.com;because traditionalism clinking
9;lieu;or outlying deploy;Greta.Orn66@hotmail.com;yum fireplace
10;whether so now;kiss whether search;Jesse.DuBuque@gmail.com;adviser ouch disloyal
