id;first_name;last_name;email;hire_date;position
1;Sunny;Parisian;Lenora_Will79@hotmail.com;2024-10-21T07:22:47;decongestant antagonize who
2;Alfreda;Walsh;Dandre40@yahoo.com;2024-10-21T03:08:15;really
3;Bonita;Erdman;Rowena_Torp@yahoo.com;2024-10-21T11:25:35;ah repeat
4;Ara;Howe;Bobby34@hotmail.com;2024-10-21T07:24:50;during patiently
5;Carson;Jerde;Gus_Strosin@gmail.com;2024-10-21T00:38:20;object ack
6;Karine;Klein;Alexandria25@yahoo.com;2024-10-21T06:14:46;before so
7;Julian;Kuhic-Wisoky;Addie83@yahoo.com;2024-10-21T14:58:31;independence when as
8;Clovis;Littel;Tito.Fritsch@hotmail.com;2024-10-20T19:52:09;venom cautiously fatal
9;Alanis;Miller;Jameson.Schimmel21@hotmail.com;2024-10-21T09:30:45;worriedly
10;Rey;Herzog;Mozelle75@gmail.com;2024-10-21T00:37:34;quaintly
