id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-20T15:28:16;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-21T05:35:08;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-20T22:59:40;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-21T08:37:44;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-20T21:28:06;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-21T00:14:41;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-21T13:16:05;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-21T03:27:40;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-21T00:42:47;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-20T21:13:28;mysterious metal whenever
