id;first_name;last_name;email;phone_number
1;Hester;Abernathy;Anibal88@hotmail.com;subsidy phooey
2;Mittie;Glover;Cleveland51@hotmail.com;oof
3;Stella;Lemke;Tyree.Ziemann@gmail.com;farm for
4;Price;Hickle;Felipe_Gislason@yahoo.com;crushing rationalize immediately
5;Lucile;Powlowski;Verla27@hotmail.com;separate thoroughly
6;Emil;Kuphal;Abigale52@hotmail.com;atop hm apropos
7;Joy;Kunde;Okey.Mills69@gmail.com;puny except
8;Clyde;Wiza;Kolby_Rogahn@hotmail.com;save
9;Willow;Walter;Aurelio.Witting23@hotmail.com;blah entice fortunate
10;Lenna;Gutkowski;Ramon_Olson@yahoo.com;although
