id;name;contact_person;email;phone_number
1;youthfully;velvety;Santino_Davis84@gmail.com;guzzle forgather
2;wherever;however;Isom.Champlin83@yahoo.com;since afore
3;within hollow;unless broadly rectangular;Odessa_Collins@hotmail.com;woot
4;anti after;while;Providenci_Wisozk@gmail.com;whereas reproachfully mmm
5;propound rejigger wiggly;astride teammate neatly;Jefferey41@gmail.com;to meh
6;forenenst hmph;boohoo psst storyboard;Madelynn_Konopelski@gmail.com;potentially
7;contravene unfortunately;sometimes;Modesta.Deckow42@yahoo.com;honestly maroon
8;couch;quickly;Jamil.Kuhic32@yahoo.com;midwife
9;presell broadcast indeed;pish about;Donna.Gusikowski@hotmail.com;finally
10;brief;hospitalization;Rebecca22@yahoo.com;furlough hovel
